Matrix,rt(s),cuts,slack,imbal,mb size,hash,part-count,SD
Matrices/vas_stokes_1M,0.252476s,10086463,100,1.05,-1,-1,16,0.5163977794943222,"[68167, 68167, 68167, 68167, 68167, 68167, 68167, 68167, 68166, 68166, 68166, 68166, 68166, 68166, 68166, 68166]"
Matrices/vas_stokes_1M,0.254779s,10088087,100,1.05,-1,-1,16,0.5163977794943222,"[68167, 68167, 68167, 68167, 68167, 68167, 68167, 68167, 68166, 68166, 68166, 68166, 68166, 68166, 68166, 68166]"
Matrices/vas_stokes_1M,0.400414s,10086463,100,1.05,-1,-1,16,0.5163977794943222,"[68167, 68167, 68167, 68167, 68167, 68167, 68167, 68167, 68166, 68166, 68166, 68166, 68166, 68166, 68166, 68166]"
Matrices/vas_stokes_1M,0.240508s,10088087,100,1.05,-1,-1,16,0.5163977794943222,"[68167, 68167, 68167, 68167, 68167, 68167, 68167, 68167, 68166, 68166, 68166, 68166, 68166, 68166, 68166, 68166]"
Matrices/marine1,3.66042s,736527,100,1.05,-1,-1,16,8.94427190999916,"[25032, 25014, 25017, 25007, 25029, 25022, 25037, 25015, 25023, 25023, 25012, 25026, 25012, 25008, 25029, 25014]"
Matrices/marine1,3.18852s,743702,100,1.05,-1,-1,16,6.324555320336759,"[25016, 25020, 25008, 25020, 25021, 25022, 25006, 25017, 25027, 25030, 25026, 25021, 25020, 25018, 25022, 25026]"
Matrices/wiki-Talk,3.20625s,182123,100,1.05,-1,-1,16,0.25,"[149649, 149649, 149649, 149650, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649]"
Matrices/wiki-Talk,2.49036s,155662,100,1.05,-1,-1,16,1.3889444433333777,"[149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149648, 149648, 149648, 149654, 149648]"
Matrices/vas_stokes_1M,0.602156s,10086463,100,1.05,-1,-1,16,0.5163977794943222,"[68167, 68167, 68167, 68167, 68167, 68167, 68167, 68167, 68166, 68166, 68166, 68166, 68166, 68166, 68166, 68166]"
Matrices/vas_stokes_1M,0.541171s,10088087,100,1.05,-1,-1,16,0.5163977794943222,"[68167, 68167, 68167, 68167, 68167, 68167, 68167, 68167, 68166, 68166, 68166, 68166, 68166, 68166, 68166, 68166]"
Matrices/marine1,7.07616s,736527,100,1.05,-1,-1,16,8.94427190999916,"[25032, 25014, 25017, 25007, 25029, 25022, 25037, 25015, 25023, 25023, 25012, 25026, 25012, 25008, 25029, 25014]"
Matrices/marine1,5.79093s,743702,100,1.05,-1,-1,16,6.324555320336759,"[25016, 25020, 25008, 25020, 25021, 25022, 25006, 25017, 25027, 25030, 25026, 25021, 25020, 25018, 25022, 25026]"
Matrices/wiki-Talk,7.65264s,182123,100,1.05,-1,-1,16,0.25,"[149649, 149649, 149649, 149650, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649]"
Matrices/wiki-Talk,6.18289s,155662,100,1.05,-1,-1,16,1.3889444433333777,"[149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149648, 149648, 149648, 149654, 149648]"
Matrices/dgreen,43.2653s,9771690,100,1.05,-1,-1,16,51.68651500472181,"[74917, 75036, 75038, 75077, 75041, 75087, 75038, 75045, 75075, 74968, 75009, 75088, 74985, 75038, 75036, 75133]"
Matrices/dgreen,27.4472s,9794402,100,1.05,-1,-1,16,53.32693972093279,"[75120, 75038, 75032, 74988, 75043, 75041, 75030, 75066, 74996, 75024, 75139, 74916, 75107, 75029, 75026, 75016]"
Matrices//wiki-Talk,2.36665s,182123,100,1.05,-1,-1,16,0.25,"[149649, 149649, 149649, 149650, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649]"
Matrices//marine1,2.39162s,736527,100,1.05,-1,-1,16,8.94427190999916,"[25032, 25014, 25017, 25007, 25029, 25022, 25037, 25015, 25023, 25023, 25012, 25026, 25012, 25008, 25029, 25014]"
Matrices//vas_stokes_1M,0.238682s,10086463,100,1.05,-1,-1,16,0.5163977794943222,"[68167, 68167, 68167, 68167, 68167, 68167, 68167, 68167, 68166, 68166, 68166, 68166, 68166, 68166, 68166, 68166]"
Matrices//dgreen,25.1145s,9771690,100,1.05,-1,-1,16,51.68651500472181,"[74917, 75036, 75038, 75077, 75041, 75087, 75038, 75045, 75075, 74968, 75009, 75088, 74985, 75038, 75036, 75133]"
Matrices//vas_stokes_1M,0.538158s,10086463,100,1.05,-1,-1,16,0.5163977794943222,"[68167, 68167, 68167, 68167, 68167, 68167, 68167, 68167, 68166, 68166, 68166, 68166, 68166, 68166, 68166, 68166]"
Matrices//marine1,4.8527s,736527,100,1.05,-1,-1,16,8.94427190999916,"[25032, 25014, 25017, 25007, 25029, 25022, 25037, 25015, 25023, 25023, 25012, 25026, 25012, 25008, 25029, 25014]"
Matrices//wiki-Talk,5.59078s,182123,100,1.05,-1,-1,16,0.25,"[149649, 149649, 149649, 149650, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649]"
Matrices//dgreen,27.0724s,9771690,100,1.05,-1,-1,16,51.68651500472181,"[74917, 75036, 75038, 75077, 75041, 75087, 75038, 75045, 75075, 74968, 75009, 75088, 74985, 75038, 75036, 75133]"
